Is movie or series,ID,Name,Genre,Length,Rating,Episode name,Season,Episode number,Release year,Budget
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,5,Return to Omashu,2,3,2006,3660000
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,2,The Swamp,2,4,2006,3660000
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,5,The Awakening,3,1,2006,3660000
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,3,The Headband,3,2,2006,3660000
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,4,The Painted Lady,3,3,2006,3660000
S,Avatar_the_last_airbender,Avatar the last Airbender,Comedy,23,3,Sokka's Master,3,4,2006,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,Welcome to Republic city,1,1,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,2,A Leaf in the Wind,1,2,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,The Revelation,1,3,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,The Voice in the Night,1,4,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,Rebel Spirit,2,1,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,The Southern Lights,2,2,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,4,Civil War Part 1,2,3,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,4,Civil War Part 2,2,4,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,A Breath of Fresh Air,3,1,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,2,Rebirth,3,2,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,The Earth Queen,3,3,2012,3660000
S,The_Legend_of_korra,The legend of Korra,Comedy,23,3,In Harm's Way,3,4,2012,3660000
